257.267,249.428
154.973,28.578
206.335,78.684
268.577,102.971
163.803,161.161
27.452,6.855
120.422,227.747
7.513,48.873
224.112,210.789
96.241,187.304
262.495,127.905
265.832,121.75
138.827,127.276
41.019,146.219
55.459,280.193
92.372,64.08
202.35,168.554
200.803,85.14
149.475,102.444
282.371,143.355
293.059,275.886
99.406,59.311
51.493,253.344
249.689,232.715
77.959,40.752
42.003,155.269
136.947,272.614
111.63,17.581
104.427,273.116
137.27,260.435
184.66,138.451
6.124,163.855
133.116,221.183
95.789,7.865
294.977,33.304
3.948,218.879
219.92,181.866
35.829,165.56
237.013,62.101
96.38,14.859
50.973,144.812
197.156,9.899
16.438,115.888
292.259,72.201
257.171,122.412
43.892,241.556
250.987,54.096
241.816,175.448
128.059,15.911
87.702,240.381
25.398,175.785
82.888,174.97
258.977,144.131
113.78,28.124
200.23,182.348
37.584,120.005
213.959,16.436
12.758,191.245
240.907,241.742
226.814,9.99
180.72,14.457
209.378,190.47
162.605,22.292
4.4,178.439
29.012,277.819
229.829,21.164
213.835,52.614
136.291,242.839
205.556,75.437
82.135,101.348
153.422,164.079
258.909,262.15
171.269,90.464
42.509,232.571
138.422,249.875
218.911,246.974
200.936,67.633
176.194,121.182
261.243,115.239
84.261,211.738
149.622,136.093
289.876,71.174
98.405,120.145
270.79,26.017
33.78,88.324
274.788,283.532
52.683,44.215
37.114,1.058
179.055,82.848
238.823,6.75
258.469,217.151
81.779,206.231
47.641,110.181
100.958,195.462
6.415,129.416
70.737,271.077
222.53,53.919
22.204,95.542
50.978,182.528
209.643,111.715
